id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
391,354.83748907607304,889.238840941519,0.3588572136227641,-0.05516639422296981,-0.15965463013299933,25,15452,239543,-13.44845871072814,-8.465553245805351
392,3428.241441012127,888.3000376526254,0.2780284537759803,0.06144239244749717,0.8251820014008473,25,12699,210923,-13.310309849401508,-8.311231239276594
393,5647.745659085773,888.3486150372403,0.26658627476772745,0.34811741871428376,0.7641946112051196,25,13050,229515,-13.40202768551488,-8.277827562611291
394,182.5307801574773,891.7296106213535,0.3226578069992895,0.06081555580867739,-0.2328994161309195,25,8859,162988,-13.03038907656775,-7.722190783784781
395,4296.096426358143,896.4434825344547,0.4587019972597292,0.332475616533767,0.5697846960739741,25,53856,526523,-14.303543367839431,-9.922524927875832
396,6008.199767779369,899.3538944942378,0.3138109797960562,-0.17696163498158798,0.7483682965060764,25,8359,180800,-13.14299606534836,-7.275507608940761
397,4252.245165766348,899.6231926119513,0.2904588542910034,-0.10696077787164575,0.29059019005245124,25,11527,189451,-13.193742255003194,-8.222493579313374
398,6007.334308317865,899.6302014772466,0.2660676475715164,-0.04465364115178024,-0.04505864378184148,25,10928,203200,-13.269809259029703,-8.00413131547015
399,2522.101714597357,902.2872672650365,0.33102176328902805,0.4381567062877217,0.44150993552782214,25,19768,254473,-13.514104274412194,-8.942526656557096
400,839.8004811732152,905.4664249333892,0.2777931219016537,0.6168762348125602,0.11182507812376127,25,12703,207121,-13.290560335617945,-8.386020112030483
401,4039.6668212290674,905.5757761437453,0.32253164652497734,0.377395117552723,0.33313937552037565,25,65535,836964,-14.80676694564747,-10.127046050935126
402,256.3973008058177,907.5819461872559,0.4246095020127384,0.3194346445579403,-0.144130190849503,25,17526,233511,-13.420768359222976,-8.649929633944009
403,4851.651789106153,908.118733956438,0.21971837072925055,-0.12656376064119026,0.35592698942953616,25,17620,276565,-13.604493045465002,-8.832883982529445
404,788.3015613862341,909.7792800384044,0.527390434835275,0.64731826874845,0.03269878436952171,25,65535,574420,-14.398073881612877,-10.156732353540425
405,804.1216293251435,908.7848587512145,0.5297335542319632,0.30826972285233645,0.6328002759981761,25,17052,225268,-13.381748758154899,-8.398280239677385
406,2520.071520161586,913.9013062823952,0.3466570412906,0.21288997101666793,0.2688582914899987,25,13321,192784,-13.21267746758852,-8.40521490229183
